University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Akadémia Umení v Banskej Bystrici,Slovakia,Banská Bystrica,Vysoká škola,,"Akadémia Umení v Banskej Bystrici is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3800,http://www.aku.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Akadémia Ozbrojených Síl Generála Milana Rastislava Štefánika V Liptovskom Mikuláši,Slovakia,Liptovský Mikuláš,Vysoká škola,,"Akadémia Ozbrojených Síl Generála Milana Rastislava Štefánika V Liptovskom Mikuláši is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4400,http://www.aos.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Akadémia Policajného Zboru v Bratislave,Slovakia,Rača,Vysoká škola,,"Akadémia Policajného Zboru v Bratislave is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7700,http://www.akademiapz.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Vysoká Škola Bezpečnostného Manažérstva v Košiciach,Slovakia,Košice,Vysoká škola,,"Vysoká Škola Bezpečnostného Manažérstva v Košiciach is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5000,http://www.vsbm.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Anglia Ruskin University,United Kingdom,Chelmsford,University,,"Anglia Ruskin University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,28900,http://www.anglia.ac.uk,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare",Not Ranked,9999,0
Vysoká škola DTI,Slovakia,Dubnica nad Váhom,Vysoká škola,,"Vysoká škola DTI is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3100,http://www.dti.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Žilinská Univerzita v Žiline,Slovakia,Žilina,Univerzita,,"Žilinská Univerzita v Žiline is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6600,http://www.uniza.sk,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Trenčianska Univerzita Alexandra Dubčeka v Trenčíne,Slovakia,Trenčín,Univerzita,,"Trenčianska Univerzita Alexandra Dubčeka v Trenčíne is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4400,http://www.tnuni.sk,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Ekonomická Univerzita v Bratislave,Slovakia,Bratislava,Univerzita,,"Ekonomická Univerzita v Bratislave is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,10600,http://www.euba.sk,"Business, Administration, Law",Not Ranked,9999,1
Vysoká Škola Ekonómie A Manažmentu Verejnej Správy v Bratislave,Slovakia,Bratislava,Vysoká škola,,"Vysoká Škola Ekonómie A Manažmentu Verejnej Správy v Bratislave is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6800,http://www.vsemvs.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Vysoká Škola Manažmentu v Trenčíne,Slovakia,Trenčín,Vysoká škola,,"Vysoká Škola Manažmentu v Trenčíne is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4100,http://www.vsm.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Vysoká Škola Medzinárodného Podnikania Ism Slovakia v Prešove,Slovakia,Prešov,Vysoká škola,,"Vysoká Škola Medzinárodného Podnikania Ism Slovakia v Prešove is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,12000,http://www.ismpo.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Slovenská Poľnohospodárska Univerzita v Nitre,Slovakia,Nitra,Univerzita,,"Slovenská Poľnohospodárska Univerzita v Nitre is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4000,http://www.uniag.sk,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Slovenská Zdravotnícka Univerzita v Bratislave,Slovakia,Bratislava,Univerzita,,"Slovenská Zdravotnícka Univerzita v Bratislave is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6200,http://eng.szu.sk,Health & Welfare,Not Ranked,9999,1
"Vysoká Škola Zdravotníctva A Sociálnej Práce Sv. Alžbety v Bratislave, N.O.",Slovakia,Bratislava,Vysoká škola,,"Vysoká Škola Zdravotníctva A Sociálnej Práce Sv. Alžbety v Bratislave, N.O. is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,9900,http://www.vssvalzbety.sk,Health & Welfare,Not Ranked,9999,1
Univerzita Veterinárskeho Lekárstva v Košiciach,Slovakia,Košice,Univerzita,,"Univerzita Veterinárskeho Lekárstva v Košiciach is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4500,http://www.uvlf.sk/en,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Univerzita Konštantína Filozofa v Nitre,Slovakia,Nitra,Univerzita,,"Univerzita Konštantína Filozofa v Nitre is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7900,http://www.ukf.sk/en/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
